tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
hip hop,Charli Baltimore,rap,Hip-Hop,69750,Jacki-O,Ms. Jade,Amil,18130
seen live,Chevy Woods,rap,Hip-Hop,256681,Wiz Khalifa,Juicy J,Tyga,15922
underground hip-hop,Chi Ali,hip hop,Hip-Hop,7008,Cookie Crew,Truck Turner,D&D Allstars,1835
electronic,Chiddy Bang,rap,Hip-Hop,9226635,Hoodie Allen,Sammy Adams,B.o.B,751190
drill,Chief Keef,rap,Hip-Hop,4775490,Fredo Santana,Lil Reese,Lil Durk,214660
seen live,Childish Gambino,rap,Hip-Hop,35223398,Kendrick Lamar,Chance the Rapper,J. Cole,638113
hip hop,Chill Rob G,rap,Hip-Hop,23033,K-Solo,Latee,Super Lover Cee & Casanova Rud,5242
NA,NA,NA,NA,NA,NA,NA,NA,NA
texas,Chingo Bling,Hip-Hop,rap,190593,South Park Mexican,MC MAGIC,Big Tuck,40876
hip hop,Chino XL,rap,Hip-Hop,522745,Ras Kass,Canibus,Copywrite,46190
hip hop,Chinx,rap,Hip-Hop,104996,French Montana,Vado,K Camp,16206
UK,Chip,rap,Grime,131738,Yungen,Ghetts,Bugzy Malone,16958
acid house,Choice,Acid,techno,33734,Steve Poindexter,Larry Heard Presents Mr. White,Ecstasy Club,8540
american,Choppa,USA,choppa,14070,Amaryoni,Shaluza Max,Baby Boy Da Prince,3708
Chris Brown,Chris Brown,Hip-Hop,rnb,43664150,Chris Brown & Tyga,Trey Songz,August Alsina,2503891
underground hip-hop,Chris Webby,rap,Hip-Hop,1002151,Futuristic,Cam Meekins,Jarren Benton,66567
seen live,Christopher Martin,dancehall,reggae,130005,Romain Virgo,Busy Signal,Konshens,23817
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Chubb Rock,old school,Hip-Hop,240847,Biz Markie,Big Daddy Kane,Nice & Smooth,58809
underground hip-hop,CJ FLY,rap,Hip-Hop,112077,Capital STEEZ,Pro Era,Joey Bada$$,7175
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Classified,Canadian,Hip-Hop,2069290,Bliss n Eso,Common Market,Sweatshop Union,141842
Mixtape DJ,Clinton Sparks,rap,Hip-Hop,290682,Jump Smokers,DJ Kay Slay,Re-Up Gang,36440
hip hop,Clyde Carson,Bay Area,rap,349660,Problem,Iamsu!,Philthy Rich,71054
Above the Law,COLD 187um,psychopathic,west coast,9249,Big Hutch,Legz Diamond & the Purple Gang,Daddy V,701
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Consequence,Drum and bass,Hip-Hop,1516376,Instra:mental,dBridge,ASC,299926
Atlanta Underground,Cool Breeze,Hip-Hop,dungeon family,62390,Witchdoctor,Big Gipp,Slimm Calhoun,15154
old school,Cool C,rap,Hip-Hop,13626,Three Times Dope,Steady B,Dana Dane,3906
hip hop,Coolio,Hip-Hop,rap,4592986,Luniz,Naughty By Nature,Kris Kross,792676
rap,Copywrite,underground hip-hop,Hip-Hop,643087,Chino XL,Apathy,louis logic,64287
east coast rap,Cormega,rap,Hip-Hop,1701267,AZ,Big Noyd,O.C.,154165
new york,Cory Gunz,East Coast,Hip-Hop,278090,Jae Millz,Stack Bundles,J.R. Writer,72593
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Count Bass D,underground hip-hop,Hip-Hop,1091007,J. Rawls,Jazz Spastiks,Monsta Island Czars,64239
political,The Coup,rap,Hip-Hop,1746859,Haftbefehl,Hanybal,Gzuz,110816
hip hop,Craig Mack,rap,Hip-Hop,471376,Naughty By Nature,Rakim,Junior M.A.F.I.A.,99513
H-Town,Crime Boss,Dirty South,Gangsta Rap,20903,Mr. Mike,K.B. & Lil' Flea,20-2-Life,3384
rap,Criminal Manne,Hip-Hop,memphis,93606,Mr. Sche,Gangsta Blac,T-Rock,14921
Gangsta Rap,Crooked I,rap,Hip-Hop,969428,Slaughterhouse,Joe Budden,Joell Ortiz,127886
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
